"name","version","license","ecosystem","source"
"libc","0.2.189","MIT OR Apache-2.0","cargo","https://crates.io/crates/libc/0.2.189"
"litemap","0.8.3","Unicode-3.0","cargo","https://crates.io/crates/litemap/0.8.3"
"log","0.4.33","MIT OR Apache-2.0","cargo","https://crates.io/crates/log/0.4.33"
"matchit","0.8.4","MIT AND BSD-3-Clause","cargo","https://crates.io/crates/matchit/0.8.4"
"memchr","2.8.3","Unlicense OR MIT","cargo","https://crates.io/crates/memchr/2.8.3"
"mime","0.3.17","MIT OR Apache-2.0","cargo","https://crates.io/crates/mime/0.3.17"
"mime_guess","2.0.5","MIT","cargo","https://crates.io/crates/mime_guess/2.0.5"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0","cargo","https://crates.io/crates/miniz_oxide/0.8.9"
"mio","1.2.2","MIT","cargo","https://crates.io/crates/mio/1.2.2"
"native-tls","0.2.18","MIT OR Apache-2.0","cargo","https://crates.io/crates/native-tls/0.2.18"
"num-bigint","0.4.8","MIT OR Apache-2.0","cargo","https://crates.io/crates/num-bigint/0.4.8"
"num-integer","0.1.47","MIT OR Apache-2.0","cargo","https://crates.io/crates/num-integer/0.1.47"
"num-traits","0.2.19","MIT OR Apache-2.0","cargo","https://crates.io/crates/num-traits/0.2.19"
"once_cell","1.21.4","MIT OR Apache-2.0","cargo","https://crates.io/crates/once_cell/1.21.4"
"openssl","0.10.81","Apache-2.0","cargo","https://crates.io/crates/openssl/0.10.81"
"openssl-macros","0.1.1","MIT/Apache-2.0","cargo","https://crates.io/crates/openssl-macros/0.1.1"
"openssl-probe","0.2.1","MIT OR Apache-2.0","cargo","https://crates.io/crates/openssl-probe/0.2.1"
"openssl-sys","0.9.117","MIT","cargo","https://crates.io/crates/openssl-sys/0.9.117"
"parking","2.2.1","Apache-2.0 OR MIT","cargo","https://crates.io/crates/parking/2.2.1"
"percent-encoding","2.3.2","MIT OR Apache-2.0","cargo","https://crates.io/crates/percent-encoding/2.3.2"
"pin-project-lite","0.2.17","Apache-2.0 OR MIT","cargo","https://crates.io/crates/pin-project-lite/0.2.17"
"potential_utf","0.1.6","Unicode-3.0","cargo","https://crates.io/crates/potential_utf/0.1.6"
"proc-macro2","1.0.107","MIT OR Apache-2.0","cargo","https://crates.io/crates/proc-macro2/1.0.107"
"quote","1.0.47","MIT OR Apache-2.0","cargo","https://crates.io/crates/quote/1.0.47"
"redis","1.2.2","BSD-3-Clause","cargo","https://crates.io/crates/redis/1.2.2"
"ring","0.17.14","Apache-2.0 AND ISC","cargo","https://crates.io/crates/ring/0.17.14"
"rustversion","1.0.23","MIT OR Apache-2.0","cargo","https://crates.io/crates/rustversion/1.0.23"
"ryu","1.0.23","Apache-2.0 OR BSL-1.0","cargo","https://crates.io/crates/ryu/1.0.23"
"serde","1.0.229","MIT OR Apache-2.0","cargo","https://crates.io/crates/serde/1.0.229"
"serde_core","1.0.229","MIT OR Apache-2.0","cargo","https://crates.io/crates/serde_core/1.0.229"
"serde_derive","1.0.229","MIT OR Apache-2.0","cargo","https://crates.io/crates/serde_derive/1.0.229"
"serde_json","1.0.151","MIT OR Apache-2.0","cargo","https://crates.io/crates/serde_json/1.0.151"
"serde_path_to_error","0.1.20","MIT OR Apache-2.0","cargo","https://crates.io/crates/serde_path_to_error/0.1.20"
"serde_urlencoded","0.7.1","MIT/Apache-2.0","cargo","https://crates.io/crates/serde_urlencoded/0.7.1"
"sha1_smol","1.0.1","BSD-3-Clause","cargo","https://crates.io/crates/sha1_smol/1.0.1"
"sha2","0.10.9","MIT OR Apache-2.0","cargo","https://crates.io/crates/sha2/0.10.9"
"simd-adler32","0.3.10","MIT","cargo","https://crates.io/crates/simd-adler32/0.3.10"
"slab","0.4.12","MIT","cargo","https://crates.io/crates/slab/0.4.12"
"smallvec","1.15.2","MIT OR Apache-2.0","cargo","https://crates.io/crates/smallvec/1.15.2"
"socket2","0.6.5","MIT OR Apache-2.0","cargo","https://crates.io/crates/socket2/0.6.5"
"stable_deref_trait","1.2.1","MIT OR Apache-2.0","cargo","https://crates.io/crates/stable_deref_trait/1.2.1"
"syn","2.0.119","MIT OR Apache-2.0","cargo","https://crates.io/crates/syn/2.0.119"
"syn","3.0.3","MIT OR Apache-2.0","cargo","https://crates.io/crates/syn/3.0.3"
"sync_wrapper","1.0.2","Apache-2.0","cargo","https://crates.io/crates/sync_wrapper/1.0.2"
"synstructure","0.13.2","MIT","cargo","https://crates.io/crates/synstructure/0.13.2"
"tinystr","0.8.4","Unicode-3.0","cargo","https://crates.io/crates/tinystr/0.8.4"
"tokio","1.53.1","MIT","cargo","https://crates.io/crates/tokio/1.53.1"
"tokio-macros","2.7.2","MIT","cargo","https://crates.io/crates/tokio-macros/2.7.2"
"tokio-native-tls","0.3.1","MIT","cargo","https://crates.io/crates/tokio-native-tls/0.3.1"
"tokio-util","0.7.19","MIT","cargo","https://crates.io/crates/tokio-util/0.7.19"
"tower","0.5.3","MIT","cargo","https://crates.io/crates/tower/0.5.3"
"tower-http","0.6.11","MIT","cargo","https://crates.io/crates/tower-http/0.6.11"
"tower-layer","0.3.3","MIT","cargo","https://crates.io/crates/tower-layer/0.3.3"
"tower-service","0.3.3","MIT","cargo","https://crates.io/crates/tower-service/0.3.3"
"tracing","0.1.44","MIT","cargo","https://crates.io/crates/tracing/0.1.44"
"tracing-core","0.1.36","MIT","cargo","https://crates.io/crates/tracing-core/0.1.36"
"typenum","1.20.1","MIT OR Apache-2.0","cargo","https://crates.io/crates/typenum/1.20.1"
"unicase","2.9.0","MIT OR Apache-2.0","cargo","https://crates.io/crates/unicase/2.9.0"
"unicode-ident","1.0.24","(MIT OR Apache-2.0) AND Unicode-3.0","cargo","https://crates.io/crates/unicode-ident/1.0.24"
"untrusted","0.9.0","ISC","cargo","https://crates.io/crates/untrusted/0.9.0"
"url","2.5.8","MIT OR Apache-2.0","cargo","https://crates.io/crates/url/2.5.8"
"utf8_iter","1.0.4","Apache-2.0 OR MIT","cargo","https://crates.io/crates/utf8_iter/1.0.4"
"writeable","0.6.4","Unicode-3.0","cargo","https://crates.io/crates/writeable/0.6.4"
"xxhash-rust","0.8.18","BSL-1.0","cargo","https://crates.io/crates/xxhash-rust/0.8.18"
"yoke","0.8.3","Unicode-3.0","cargo","https://crates.io/crates/yoke/0.8.3"
"yoke-derive","0.8.2","Unicode-3.0","cargo","https://crates.io/crates/yoke-derive/0.8.2"
"zerofrom","0.1.8","Unicode-3.0","cargo","https://crates.io/crates/zerofrom/0.1.8"
"zerofrom-derive","0.1.7","Unicode-3.0","cargo","https://crates.io/crates/zerofrom-derive/0.1.7"
"zerotrie","0.2.5","Unicode-3.0","cargo","https://crates.io/crates/zerotrie/0.2.5"
